mock_test_title,subject_name,question_text,option1,option2,option3,option4,correct_option,solution,marks,negative_marks
SSC CGL Mock Test 2020 - 1,General Awareness,Who was the first Prime Minister of India?,Jawaharlal Nehru,B. R. Ambedkar,Sardar Patel,Maulana Azad,1,Jawaharlal Nehru became the first Prime Minister of India in 1947.,2,0.5
SSC CGL Mock Test 2020 - 1,English Language,Pick the correctly punctuated sentence.,Lets eat Grandma.,"Let's eat, Grandma.",Let us eat Grandma.,"Lets eat, Grandma.",2,"Correct punctuation: ""Let's eat, Grandma.""",2,0.5
SSC CGL Mock Test 2020 - 1,Quantitative Aptitude,Solve: 11 + 9 × 2 = ?,29,30,28,31,1,11 + 9 × 2 = 29.,2,0.5
SSC CGL Mock Test 2020 - 1,General Intelligence & Reasoning,"Find the odd one out: 9, 4, 6, 8, 10",9,4,6,8,1,9 is odd while others are even.,2,0.5
SSC CGL Mock Test 2020 - 1,Quantitative Aptitude,"A train 150 m long passes a platform in 12 seconds. If its speed is 36 km/h, what is the length of the platform (in meters)?",-30,-20,-40,-10,1,Platform length = speed(m/s)*time - train length = -30 m.,2,0.5
SSC CGL Mock Test 2020 - 1,General Intelligence & Reasoning,"Find the next number in the series: 8, 10, 14, 20",28,30,26,32,1,Pattern increases by successive even numbers; next is 28.,2,0.5
SSC CGL Mock Test 2020 - 1,English Language,Choose the correct synonym of 'Frugal',Economical,Slow,Weak,Angry,1,'Frugal' means 'Economical'.,2,0.5
SSC CGL Mock Test 2020 - 1,General Intelligence & Reasoning,"If in a code PAPER is written as QBOFS, how is PYTHON written?",QZUIPO,RAVJQP,PYRLMN,RAVJPO,1,Each letter shifted by +1: PYTHON -> QZUIPO.,2,0.5
SSC CGL Mock Test 2020 - 1,English Language,Pick the correctly punctuated sentence. (9),Lets eat Grandma.,"Let's eat, Grandma.",Let us eat Grandma.,"Lets eat, Grandma.",2,"Correct punctuation: ""Let's eat, Grandma.""",2,0.5
SSC CGL Mock Test 2020 - 1,Quantitative Aptitude,What is the value of x if 2x + 4 = 26?,11,12,10,13,1,2x + 4 = 26 ⇒ x = 11.0.,2,0.5
SSC CGL Mock Test 2020 - 1,General Intelligence & Reasoning,"Find the odd one out: 2, 4, 11, 8, 10",2,4,11,8,3,11 is odd while others are even.,2,0.5
SSC CGL Mock Test 2020 - 1,English Language,Choose the correct synonym of 'Lucid',Clear,Slow,Weak,Angry,1,'Lucid' means 'Clear'.,2,0.5
